ID,Sales Segment,Global Region,Industry,Booking Date Date,Type,Stage Name,Source,Number of Employees,Is Customer (Yes / No),Created Date,Tenure Months,Total ARR
1,Enterprise,NA,Internet Software & Services,2024-06-27,New,Disqualified,Website,10001.0,Yes,2019-05-14,15.0,0.0
2,Enterprise,NA,Internet Software & Services,2020-09-30,New,Closed Lost,SalesLoft,3100.0,No,2018-04-27,15.0,0.0
3,Emerging,NA,,2020-07-31,New,Closed Lost,,,No,2019-03-22,47.0,102000.0
4,Emerging,NA,,2020-06-30,New,Closed Lost,,,No,2019-11-27,47.0,11000.0
5,Emerging,NA,Business Services,2020-06-30,New,Closed Lost,,,No,2019-10-23,47.0,8000.0
6,Enterprise,NA,Real Estate,2020-06-30,New,Closed Lost,Partner,10000.0,No,2017-10-16,15.0,8000.0
7,SMB,NA,Professional Services,2020-05-31,New,Closed Lost,Outbound,240.0,No,2019-12-12,47.0,12000.0
8,SMB,NA,Consumer Goods,2020-05-31,New,Closed Lost,ZoomInfo,190.0,No,2019-09-12,47.0,8000.0
9,SMB,EMEA,Internet Software & Services,2020-05-31,New,Closed Lost,Web,64.0,No,2019-10-15,58.0,16000.0
10,SMB,EMEA,Internet Software & Services,2020-05-31,New,Closed Lost,Data Vendor,45.0,No,2019-11-06,47.0,60000.0
11,Enterprise,NA,Diversified Telecommunication Services,2020-05-29,New,Closed Lost,ZoomInfo,250.0,No,2019-12-11,47.0,8000.0
12,Emerging,EMEA,Technology,2020-05-27,New,Closed Lost,Google Natural Search,90.0,No,2019-09-06,11.0,44000.0
13,Emerging,NA,,2020-05-01,New,Closed Lost,Phone Inquiry,,No,2019-10-17,4.0,8000.0
14,SMB,EMEA,Internet Software & Services,2020-05-01,New,Closed Lost,,79.0,No,2019-10-30,11.0,30000.0
15,SMB,NA,Internet Software & Services,2020-05-01,New,Closed Lost,,120.0,No,2020-01-15,47.0,21000.0
16,SMB,NA,Internet Software & Services,2020-05-01,New,Closed Lost,ZoomInfo,144.0,No,2019-12-19,47.0,17000.0
17,SMB,NA,Technology,2020-04-30,New,Closed Lost,Data Vendor,49.0,No,2019-07-23,7.0,0.0
18,Emerging,NA,Business Services,2020-04-30,New,Closed Lost,,57.0,No,2020-01-31,47.0,2000.0
19,Emerging,NA,Professional Services,2020-04-30,Upgrade,Closed Won,,60.0,Yes,2019-06-12,47.0,0.0
20,Enterprise,NA,Professional Services,2020-04-30,New,Closed Lost,,0.0,No,2018-05-22,15.0,0.0
21,Mid-Market,NA,Internet Software & Services,2020-04-30,Upgrade,Closed Lost,,1189.0,Yes,2019-09-16,60.0,27000.0
22,SMB,NA,Internet Software & Services,2020-04-30,New,Closed Lost,,563.0,No,2019-11-04,7.0,8000.0
23,Emerging,NA,Internet Software & Services,2020-04-30,Upgrade,Closed Lost,,35.0,Yes,2019-12-20,60.0,7000.0
