"Industry","total_arr_sum"
"Internet Software & Services","17148769.97"
"Professional Services","2165694.37"
"Internet","1709341.6"
"Technology","970254.21"
"Computer Software","922871.94"
"Media","427032.8"
"Diversified Financial Services","412100.0"
"Consulting","382400.0"
"Diversified Telecommunication Services","309000.0"
"Software","254000.0"
"Transportation","207160.03"
"Hotels, Restaurants & Leisure","206000.0"
"Health Care Providers & Services","196200.0"
"Business Services","185000.0"
"Diversified Consumer Services","180000.0"
"Education","110999.99"
"Real Estate","94000.0"
"IT Services","93000.0"
"Specialized Consumer Services","88000.0"
"Information Technology & Services","87000.0"
"Marketing and Advertising","86000.0"
"Finance","83000.0"
"Computer Networking","81028.0"
"Biotechnology","77000.0"
"Leisure Products","74000.0"
"Insurance","73000.0"
"Hospital & Health Care","70200.0"
"Agricultural Products","68000.0"
"Construction & Engineering","61000.0"
"Pharmaceuticals","61000.0"
"Banking & Mortgages","59000.0"
"Financial Services","58568.0"
"Healthcare","54000.0"
"Schools and Education","53000.0"
"Professional Sports","52000.0"
"Consumer Discretionary","48760.0"
"Commercial Services & Supplies","48000.0"
"Accounting","48000.0"
"Household Durables","47000.0"
"Advertising","44000.0"
"Publishing","41100.0"
"Services","40000.0"
"Staffing and Recruiting","35000.0"
"Communications Equipment","34000.0"
"Electrical Equipment","32000.0"
"Renewable Electricity","30520.0"
"Wireless","30000.0"
"Security and Investigations","30000.0"
"Commercial Printing","28100.0"
"Human Resources","28000.0"
"Containers & Packaging","27000.0"
"Air Freight & Logistics","26000.0"
"Education Services","24196.0"
"Telecommunications","24000.0"
"Legal Services","24000.0"
"Media and Entertainment","24000.0"
"Textiles, Apparel & Luxury Goods","24000.0"
"E-Learning","23000.0"
"Professional Training and Coaching","22000.0"
"Oil and Energy","21100.0"
"Information Services","21000.0"
"Retailing","21000.0"
"Capital Markets","20082.6"
"Research","19904.0"
"Manufacturing - Durables","18000.0"
"Manufacturing","17000.0"
"Industrial Conglomerates","15520.0"
"Information Technology and Services","15000.0"
"Shipping & Logistics","14000.0"
"Retail","14000.0"
"Venture Capital & Private Equity","14000.0"
"Oil & Gas","12000.0"
"Engineering","12000.0"
"Wholesale","11000.0"
"Renewable Energy","9100.0"
"Aerospace & Defense","9000.0"
"Investment Banking & Brokerage","9000.0"
"Higher Education","9000.0"
"Computer Hardware","9000.0"
"Internet Software and Services","8640.0"
"Telecom / Communication Services","8000.0"
"Shipping","8000.0"
"Banks","8000.0"
"Distributors","8000.0"
"Industrial Automation","8000.0"
"Public Safety","8000.0"
"Paper Products","8000.0"
"Health Care","7000.0"
"Health, Wellness & Fitness","6000.0"
"Banking","6000.0"
"Hospitals & Clinics","6000.0"
"Food Products","4000.0"
"Integrated Telecommunication Services","1000.0"
"Human Resource & Employment Services","1000.0"
"Investment Banking","-900.05"
