"Source","total_arr_sum"
"Datahug","3647440.05"
"ZoomInfo","2819322.4"
"Website","2073000.0"
"Google Natural Search","1346720.0"
"Data Vendor","1241000.0"
"SalesLoft (Prospector)","1044000.0"
"Events","853000.0"
"SalesLoft","843000.0"
"Outbound","666520.0"
"Web","487039.9"
"LeadIQ","265000.0"
"Live Chat","168000.0"
"Social Ads","164000.0"
"Inbound SDR","158000.0"
"Google Ad","154000.0"
"Bing Natural Search","102000.0"
"Intercom - Live Chat","92000.0"
"Referral","89000.0"
"Outbound SDR","72000.0"
"Webinar","59000.0"
"Everstring","47000.0"
"DiscoverOrg","35000.0"
"Trade Show","26000.0"
"twitter","21000.0"
"Inbound","16000.0"
"Outbound BDR","16000.0"
"Sales Executive","14000.0"
"Website (Form)","9000.0"
"linkedin","9000.0"
"Clearbit","8000.0"
"Drift","8000.0"
"Invited User","7000.0"
"Email-Signature-Rescue","7000.0"
"Facebook","-0.01"
