"Industry","cases","total_arr_sum","won_percentage"
"Internet Software & Services","2028","21933360.36","81.41"
"Professional Services","332","3545962.24","71.69"
"Computer Software","106","1139971.94","78.30"
"Technology","96","1145534.21","87.50"
"Internet","85","1961341.6","80.00"
"Consulting","62","668400.0","87.10"
"Media","57","815032.8","66.67"
"Diversified Financial Services","33","603100.0","78.79"
"Transportation","28","237160.03","92.86"
"Business Services","22","266000.0","59.09"
"Software","21","322000.0","71.43"
"Health Care Providers & Services","21","265200.0","76.19"
"Diversified Telecommunication Services","21","371000.0","76.19"
"Hospital & Health Care","20","83200.0","90.00"
"Hotels, Restaurants & Leisure","18","206000.0","94.44"
"Consumer Discretionary","16","114760.0","68.75"
"Real Estate","15","107000.0","86.67"
"Computer Networking","15","80164.0","93.33"
"Financial Services","14","237568.0","57.14"
"Finance","14","150000.0","71.43"
"Advertising","13","158000.0","61.54"
"Biotechnology","13","91000.0","76.92"
"IT Services","12","125000.0","66.67"
"Education","10","168999.99","80.00"
"Capital Markets","9","32082.6","66.67"
"Renewable Electricity","9","137520.0","33.33"
"Insurance","9","88000.0","66.67"
"Marketing and Advertising","8","97000.0","87.50"
"Publishing","8","41100.0","100.00"
"Information Services","8","34000.0","62.50"
"Pharmaceuticals","8","64000.0","75.00"
"Oil and Energy","7","21100.0","100.00"
"Telecommunications","7","57000.0","57.14"
"Electrical Equipment","6","36000.0","66.67"
"Information Technology & Services","6","102000.0","83.33"
"Human Resources","6","28000.0","83.33"
"Services","5","76000.0","80.00"
"Diversified Consumer Services","5","180000.0","100.00"
"Communications Equipment","5","34000.0","100.00"
"Information Technology and Services","5","53000.0","60.00"
"Commercial Services & Supplies","5","64000.0","60.00"
"Healthcare","4","54000.0","100.00"
"Construction & Engineering","4","73000.0","75.00"
"Shipping","4","113000.0","25.00"
"Retailing","4","21000.0","100.00"
"Schools and Education","4","53000.0","100.00"
"Renewable Energy","4","9100.0","100.00"
"Health Care","4","15000.0","75.00"
"Legal Services","4","24000.0","100.00"
"Industrial Conglomerates","4","15520.0","100.00"
"Investment Banking & Brokerage","4","9000.0","100.00"
"E-Learning","3","41000.0","66.67"
"Research","3","19904.0","100.00"
"Education Services","3","24196.0","100.00"
"Media and Entertainment","3","52000.0","66.67"
"Wireless","3","60000.0","33.33"
"Wholesale","3","11000.0","100.00"
"Air Freight & Logistics","3","74000.0","66.67"
"Venture Capital & Private Equity","3","17000.0","66.67"
"Specialized Consumer Services","3","101000.0","66.67"
"Manufacturing","3","17000.0","100.00"
"Professional Sports","3","52000.0","100.00"
"Leisure Products","3","102000.0","33.33"
"Health & Wellness","2","30000.0","0.00"
"Agricultural Products","2","68000.0","100.00"
"Computer Hardware","2","15000.0","50.00"
"Public Safety","2","8000.0","100.00"
"Internet Software and Services","2","8640.0","100.00"
"Security and Investigations","2","40000.0","50.00"
"Health, Wellness & Fitness","2","6000.0","100.00"
"Building Materials","2","34000.0","0.00"
"Higher Education","2","22000.0","50.00"
"Retail","2","54000.0","50.00"
"Textiles, Apparel & Luxury Goods","2","24000.0","100.00"
"Construction","2","20000.0","0.00"
"Commercial Printing","2","28100.0","100.00"
"Consumer Goods","2","16000.0","0.00"
"Oil & Gas","2","12000.0","100.00"
"Staffing and Recruiting","2","35000.0","100.00"
"Professional Training and Coaching","2","22000.0","100.00"
"Media & Internet","2","30000.0","0.00"
"Accounting","1","48000.0","100.00"
"Engineering","1","12000.0","100.00"
"Household Durables","1","47000.0","100.00"
"Industrial Automation","1","8000.0","100.00"
"Market Research","1","3000.0","0.00"
"Banking","1","6000.0","100.00"
"Integrated Telecommunication Services","1","1000.0","100.00"
"Entertainment","1","52000.0","0.00"
"Corporate Services","1","27000.0","0.00"
"Consumer Staples","1","34000.0","0.00"
"Broadcasting","1","0.0","0.00"
"Consumer Services","1","9000.0","0.00"
"Banking & Mortgages","1","59000.0","100.00"
"Telecom / Communication Services","1","8000.0","100.00"
"Human Resource & Employment Services","1","1000.0","100.00"
"Banks","1","8000.0","100.00"
"Shipping & Logistics","1","14000.0","100.00"
"Automotive","1","33000.0","0.00"
"Containers & Packaging","1","27000.0","100.00"
"Investment Banking","1","-900.05","100.00"
"Hospitals & Clinics","1","6000.0","100.00"
"Distributors","1","8000.0","100.00"
"Food Products","1","4000.0","100.00"
"Paper Products","1","8000.0","100.00"
"Education Management","1","4000.0","0.00"
"Manufacturing - Durables","1","18000.0","100.00"
"Hospitals / Health Care","1","13000.0","0.00"
"Other","1","7000.0","0.00"
"Aerospace & Defense","1","9000.0","100.00"
"Environmental","1","10000.0","0.00"
"Logistics / Transportation","1","13000.0","0.00"
