"Source","cases","won_percentage"
"ZoomInfo","200","67.00"
"Website","191","79.06"
"Datahug","170","78.82"
"Google Natural Search","117","73.50"
"Data Vendor","84","69.05"
"Outbound","77","74.03"
"SalesLoft","67","71.64"
"Web","45","73.33"
"SalesLoft (Prospector)","43","72.09"
"Events","36","77.78"
"Social Ads","22","63.64"
"LeadIQ","19","42.11"
"Google Ad","16","81.25"
"Intercom - Live Chat","12","83.33"
"Webinar","9","77.78"
"Outbound SDR","9","77.78"
"Bing Natural Search","8","50.00"
"Referral","6","83.33"
"Live Chat","6","66.67"
"Inbound SDR","5","60.00"
"DiscoverOrg","5","60.00"
"Trade Show","2","50.00"
"Website (Form)","2","50.00"
"Drift","2","50.00"
"Inbound","2","100.00"
"Partner","2","0.00"
"linkedin","2","50.00"
"Facebook","1","100.00"
"G2 Crowd","1","0.00"
"Sales Executive","1","100.00"
"Outbound BDR","1","100.00"
"Invited User","1","100.00"
"Phone Inquiry","1","0.00"
"twitter","1","100.00"
"Clearbit","1","100.00"
"Everstring","1","100.00"
"Email-Signature-Rescue","1","100.00"
"G2 Crowd - New","1","0.00"
